Jahr;BFS_Nummer;Gemeinde;Fälle;Fläche_in_m2;Quadratmeterpreis_CHF
1979;2761;Aesch;17;12300;213
1979;2762;Allschwil;32;10400;266
1979;2763;Arlesheim;9;4700;221
1979;2764;Biel-Benken;15;13800;224
1979;2765;Binningen;13;11700;271
1979;2766;Birsfelden;;;
1979;2767;Bottmingen;38;28200;292
1979;2768;Ettingen;24;21500;210
1979;2769;Münchenstein;6;3200;201
1979;2770;Muttenz;22;18600;250
1979;2771;Oberwil;42;36200;248
1979;2772;Pfeffingen;11;8800;186
1979;2773;Reinach;36;21200;243
1979;2774;Schönenbuch;7;5600;185
1979;2775;Therwil;20;13300;255
1979;2821;Arisdorf;13;7700;130
1979;2822;Augst;( );( );( )
1979;2823;Bubendorf;15;9100;87
1979;2824;Frenkendorf;25;15500;187
1979;2825;Füllinsdorf;7;7200;173
1979;2826;Giebenach;7;6100;106
1979;2827;Hersberg;9;4000;117
1979;2828;Lausen;17;12400;143
1979;2829;Liestal;24;15300;189
1979;2830;Lupsingen;( );( );( )
1979;2831;Pratteln;48;19200;214
1979;2832;Ramlinsburg;( );( );( )
1979;2833;Seltisberg;8;6400;130
1979;2834;Ziefen;( );( );( )
1979;2841;Anwil;4;4400;54
1979;2842;Böckten;;;
1979;2843;Buckten;( );( );( )
1979;2844;Buus;4;2800;70
1979;2845;Diepflingen;3;1000;91
1979;2846;Gelterkinden;19;11500;115
1979;2847;Häfelfingen;( );( );( )
1979;2848;Hemmiken;;;
1979;2849;Itingen;( );( );( )
1979;2850;Känerkinden;( );( );( )
1979;2851;Kilchberg (BL);;;
1979;2852;Läufelfingen;( );( );( )
1979;2853;Maisprach;5;4500;71
1979;2854;Nusshof;( );( );( )
1979;2855;Oltingen;;;
1979;2856;Ormalingen;22;13500;79
1979;2857;Rickenbach;( );( );( )
1979;2858;Rothenfluh;( );( );( )
1979;2859;Rümlingen;( );( );( )
1979;2860;Rünenberg;( );( );( )
1979;2861;Sissach;13;8000;144
1979;2862;Tecknau;3;1000;82
1979;2863;Tenniken;4;3300;72
1979;2864;Thürnen;6;3400;115
1979;2865;Wenslingen;( );( );( )
1979;2866;Wintersingen;( );( );( )
1979;2868;Zeglingen;3;3100;43
1979;2881;Arboldswil;3;3700;97
1979;2882;Bennwil;3;2100;93
1979;2883;Bretzwil;( );( );( )
1979;2884;Diegten;25;9900;60
1979;2885;Eptingen;4;4400;44
1979;2886;Hölstein;19;13500;76
1979;2887;Lampenberg;7;5600;71
1979;2888;Langenbruck;( );( );( )
1979;2889;Lauwil;( );( );( )
1979;2890;Liedertswil;;;
1979;2891;Niederdorf;7;3300;73
1979;2892;Oberdorf;12;8400;93
1979;2893;Reigoldswil;7;4300;96
1979;2894;Titterten;4;2600;69
1979;2895;Waldenburg;3;3000;54
1980;2761;Aesch;33;16700;214
1980;2762;Allschwil;38;27300;325
1980;2763;Arlesheim;9;10800;308
1980;2764;Biel-Benken;19;11600;260
1980;2765;Binningen;18;16300;329
1980;2766;Birsfelden;;;
1980;2767;Bottmingen;56;21100;264
1980;2768;Ettingen;25;11200;221
1980;2769;Münchenstein;9;6300;210
1980;2770;Muttenz;23;12900;304
1980;2771;Oberwil;18;17200;278
1980;2772;Pfeffingen;9;8900;201
1980;2773;Reinach;9;10100;255
1980;2774;Schönenbuch;11;7300;188
1980;2775;Therwil;16;12400;258
1980;2821;Arisdorf;7;4600;122
1980;2822;Augst;( );( );( )
1980;2823;Bubendorf;14;10500;109
1980;2824;Frenkendorf;23;13300;204
1980;2825;Füllinsdorf;12;6800;219
1980;2826;Giebenach;14;9500;117
1980;2827;Hersberg;16;10600;116
1980;2828;Lausen;23;12600;150
1980;2829;Liestal;13;7300;189
1980;2830;Lupsingen;20;12800;133
1980;2831;Pratteln;17;10500;184
1980;2832;Ramlinsburg;3;2800;109
1980;2833;Seltisberg;4;3100;146
1980;2834;Ziefen;3;2600;84
1980;2841;Anwil;5;5500;53
1980;2842;Böckten;3;1300;97
1980;2843;Buckten;7;3400;69
1980;2844;Buus;5;3300;77
1980;2845;Diepflingen;( );( );( )
1980;2846;Gelterkinden;33;20300;90
1980;2847;Häfelfingen;( );( );( )
1980;2848;Hemmiken;;;
1980;2849;Itingen;31;20300;86
1980;2850;Känerkinden;5;4000;77
1980;2851;Kilchberg (BL);;;
1980;2852;Läufelfingen;5;4400;46
1980;2853;Maisprach;11;10500;89
1980;2854;Nusshof;( );( );( )
1980;2855;Oltingen;;;
1980;2856;Ormalingen;10;5200;98
1980;2857;Rickenbach;( );( );( )
1980;2858;Rothenfluh;( );( );( )
1980;2859;Rümlingen;3;800;59
1980;2860;Rünenberg;( );( );( )
1980;2861;Sissach;15;9800;131
1980;2862;Tecknau;3;2200;86
1980;2863;Tenniken;14;8300;76
1980;2864;Thürnen;9;6500;127
1980;2865;Wenslingen;( );( );( )
1980;2866;Wintersingen;( );( );( )
1980;2867;Wittinsburg;( );( );( )
1980;2868;Zeglingen;3;1900;43
1980;2882;Bennwil;( );( );( )
1980;2883;Bretzwil;;;
1980;2884;Diegten;6;5500;77
1980;2885;Eptingen;( );( );( )
1980;2886;Hölstein;15;11100;107
1980;2887;Lampenberg;( );( );( )
1980;2888;Langenbruck;;;
1980;2889;Lauwil;3;2200;81
1980;2890;Liedertswil;;;
1980;2891;Niederdorf;13;9300;79
1980;2892;Oberdorf;7;5200;104
1980;2893;Reigoldswil;7;4000;97
1980;2894;Titterten;( );( );( )
1980;2895;Waldenburg;( );( );( )
1981;2761;Aesch;15;11400;261
1981;2762;Allschwil;31;13300;296
1981;2763;Arlesheim;11;6400;353
1981;2764;Biel-Benken;8;5800;259
1981;2765;Binningen;21;17100;380
1981;2766;Birsfelden;( );( );( )
1981;2767;Bottmingen;15;11200;350
1981;2768;Ettingen;7;4600;252
1981;2769;Münchenstein;21;17700;226
1981;2770;Muttenz;7;4200;302
1981;2771;Oberwil;11;11100;251
1981;2772;Pfeffingen;10;6700;217
1981;2773;Reinach;3;2100;349
1981;2774;Schönenbuch;17;8200;229
1981;2775;Therwil;6;6800;182
1981;2821;Arisdorf;5;3900;172
1981;2822;Augst;( );( );( )
1981;2823;Bubendorf;5;3600;115
1981;2824;Frenkendorf;5;2900;239
1981;2825;Füllinsdorf;10;5400;182
1981;2826;Giebenach;6;3900;123
1981;2827;Hersberg;( );( );( )
1981;2828;Lausen;30;14700;148
1981;2829;Liestal;14;10900;193
1981;2830;Lupsingen;9;6200;137
1981;2831;Pratteln;19;9900;197
1981;2832;Ramlinsburg;;;
1981;2833;Seltisberg;11;7900;129
1981;2834;Ziefen;;;
1981;2841;Anwil;( );( );( )
1981;2842;Böckten;( );( );( )
1981;2843;Buckten;6;7000;51
1981;2844;Buus;;;
1981;2845;Diepflingen;( );( );( )
1981;2846;Gelterkinden;11;12700;115
1981;2847;Häfelfingen;( );( );( )
1981;2848;Hemmiken;( );( );( )
1981;2849;Itingen;21;14600;115
